;МАТЕМАТИЧЕСКА ЛОГИКА;доц. Х. ГАНЧЕВ;"В ЕЛЕКТРОННА
СРЕДА";П;03.02.;Мудъл;10.00.
;кат. Математическа логика и приложенията й;;;У;04.02.;Мудъл;10.00.
;ЧАСТНИ ДИФЕРЕНЦИАЛНИ УРАВНЕНИЯ;доц. М. КАРАТОПРАКЛИЕВА;"писмен -
дистанционно";П;16.02.;Мудъл;09.00.
;кат. Диференциални уравнения;;"устен -
присъствено";У;18.02.;307;09.00.
;;;;;;;
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
МАТЕМАТИКА И ИНФОРМАТИКА  I курс;ГЕОМЕТРИЯ 1;проф. С. ИВАНОВ;"ПРИСЪСТВЕНО В
ЗАЛА";04.02.;;326;10.00.
;кат. Геометрия;;;;;;
;АНАЛИЗ 1;доц. И. ГАДЖЕВ;"ПРИСЪСТВЕНО В
ЗАЛА";18.02.;;326;11.00.
;кат. Математически анализ;;;;;;
;КОМПЮТЪРНИ СИСТЕМИ И ТЕХНОЛОГИИ;проф. К. СТЕФАНОВ;"В ЕЛЕКТРОННА
СРЕДА";10.02.;;Мудъл;10.00.
;кат. Информационни технологии;;;;;;
;АЛГЕБРА 1;проф.. М. СТОЯНОВА;"В ЕЛЕКТРОННА
СРЕДА";П;25.01.;Мудъл;09.00.
;кат. Алгебра;;;У;28.01.;Мудъл;09.00.
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
МАТЕМАТИКА И ИНФОРМАТИКА  II курс;ДИСКРЕТНА МАТЕМАТИКА И АЛГОРИТМИ;проф. А. СОСКОВА;"В ЕЛЕКТРОННА
СРЕДА";П;25.01.;Мудъл;11,00
;кат. Математическа логика и приложенията й;;;У;27.01.;Мудъл;11.00.
;СТРУКТУРИ ОТ ДАННИ И ПРОГРАМИРАНЕ;проф. К. СТЕФАНОВ;"В ЕЛЕКТРОННА
СРЕДА";11.02.;;Мудъл;10.00.
;кат. Информационни технологи;;;;;;
;УЧИЛИЩЕН КУРС ПО АЛГЕБРА И АНАЛИЗ;проф. И. ТОНОВ;"В ЕЛЕКТРОННА
СРЕДА";П;01.02.;Мудъл;09.00.
;кат. Обучение по математка и инф.;;;У;03.02.;Мудъл;09,00
СПЕЦИАЛНОСТ;УЧЕБНА ДИСЦИПЛИНА;ПРЕПОДАВАТЕЛ;"ФОРМАТ НА
ИЗПИТ";ДАТА;;ЗАЛА;ЧАС
